Time,nsm,nlg,nsmz,nmdz,nlgz,no3,sio4,po4
2013-02-03 12:00:00,1.00918018019353E-07,5.7619833930685E-08,1.1282937788356E-07,6.89922129834295E-08,1.30404799898671E-08,1.22258184086089E-06,2.19177570266652E-06,1.39157909151051E-07
2013-02-04 00:00:00,8.90557597138228E-08,5.34254797424471E-08,1.10194393496826E-07,6.60814095177416E-08,1.253445665437E-08,1.27234473574696E-06,2.23885893867529E-06,1.43922286683836E-07
2013-02-04 12:00:00,1.04994489039305E-07,5.70846366497744E-08,1.08772134553825E-07,6.53582903264612E-08,1.23493592952144E-08,1.29482362036303E-06,2.28460109134318E-06,1.44461858937504E-07
2013-02-05 00:00:00,9.1732645831869E-08,5.36006066854942E-08,1.10811855425235E-07,6.63969396913483E-08,1.25264926834335E-08,1.29347625567131E-06,2.28708451865762E-06,1.45274219850813E-07
2013-02-05 12:00:00,1.07220724793241E-07,5.53210386516338E-08,1.07542004631416E-07,6.630551828198E-08,1.2615259675715E-08,1.30553232468994E-06,2.34024660984733E-06,1.44912719711652E-07
2013-02-06 00:00:00,9.4593942704601E-08,5.15218494080322E-08,1.06274736260227E-07,6.65547990012991E-08,1.28155151872864E-08,1.34410400452568E-06,2.3842338943724E-06,1.48492078494114E-07
2013-02-06 12:00:00,1.0828766942827E-07,5.21782365016635E-08,1.01297741493835E-07,6.41198084931416E-08,1.26254960184347E-08,1.4345041548519E-06,2.51421888006642E-06,1.54162870042861E-07
2013-02-07 00:00:00,9.66929834691381E-08,4.9022532266712E-08,1.01766663196131E-07,6.42690375228456E-08,1.28187614612453E-08,1.47980906004353E-06,2.57974740443519E-06,1.58156493521797E-07
2013-02-07 12:00:00,1.10446155825947E-07,5.12122069004166E-08,1.01669078095061E-07,6.36107367405248E-08,1.2742158727283E-08,1.54741950943413E-06,2.68898877211524E-06,1.61981019362542E-07
2013-02-08 00:00:00,9.73517776283535E-08,4.86333891193166E-08,1.0393003718134E-07,6.41910570175753E-08,1.28617144381864E-08,1.63812273475196E-06,2.84184239358828E-06,1.69259851754994E-07
2013-02-08 12:00:00,1.08878318926757E-07,5.08464255143979E-08,1.02688922633178E-07,6.40438313734545E-08,1.2855798255193E-08,1.68673012718791E-06,2.92641857229207E-06,1.71831393336584E-07
2013-02-09 00:00:00,9.45766230037478E-08,4.83525409971911E-08,1.0348877559509E-07,6.31638328196627E-08,1.27107395818934E-08,1.78483328902145E-06,3.04382210986175E-06,1.79957675925859E-07
2013-02-09 12:00:00,1.08508089625713E-07,5.18747176672759E-08,1.03455311614136E-07,6.42241789027733E-08,1.2839272017297E-08,1.79052562769612E-06,3.05650516681304E-06,1.79120972701312E-07
2013-02-10 00:00:00,9.58419771776738E-08,4.98843642024449E-08,1.05124406848489E-07,6.42638260400216E-08,1.28117563269239E-08,1.83569946357673E-06,3.12116559315114E-06,1.83356798549387E-07
2013-02-10 12:00:00,1.09791861188627E-07,5.33004879859485E-08,1.07989398350091E-07,6.69286095077554E-08,1.32984239925177E-08,1.75037828979493E-06,3.04101244332377E-06,1.75984505107176E-07
2013-02-11 00:00:00,9.56798115732968E-08,5.03624572684696E-08,1.09058917345244E-07,6.7541385918269E-08,1.34984402334158E-08,1.77243638735004E-06,3.07703555785435E-06,1.78535824574809E-07
2013-02-11 12:00:00,1.0577478776145E-07,5.23521493511114E-08,1.09810238749442E-07,6.92343091695993E-08,1.39350714439152E-08,1.70863057014741E-06,3.00350872687996E-06,1.73064513683892E-07
2013-02-12 00:00:00,9.18279359625524E-08,5.00160084890078E-08,1.10362388494844E-07,6.97878250310605E-08,1.41134848502784E-08,1.75337923225344E-06,3.0750524422829E-06,1.77230895841435E-07
2013-02-12 12:00:00,1.01716506704833E-07,5.14284173000029E-08,1.08269830687403E-07,7.04421338256723E-08,1.44469748446689E-08,1.77647576395711E-06,3.09095362418892E-06,1.77971349561916E-07
2013-02-13 00:00:00,9.0072051699673E-08,4.88824189036002E-08,1.06584430323919E-07,6.9860468243987E-08,1.46125955169899E-08,1.8338028494558E-06,3.17602599786843E-06,1.83129325495276E-07
2013-02-13 12:00:00,1.04052728043068E-07,5.12681297141686E-08,1.05487740598114E-07,7.06386102627002E-08,1.49721357654384E-08,1.78416186321628E-06,3.10961597013674E-06,1.78451961155666E-07
2013-02-14 00:00:00,9.24897196277887E-08,4.90534867649935E-08,1.0534050752891E-07,7.02857549931441E-08,1.51011891309706E-08,1.83569810898658E-06,3.19718835535751E-06,1.8305223944127E-07
2013-02-14 12:00:00,1.07409096127227E-07,5.19378205648736E-08,1.04724314169666E-07,6.99333815917953E-08,1.52195822881282E-08,1.80040577421883E-06,3.13913690407566E-06,1.79577031005662E-07
2013-02-15 00:00:00,9.64143155525469E-08,4.95276769039871E-08,1.05535270522899E-07,7.00227429592124E-08,1.54590918054516E-08,1.79328967979088E-06,3.1342711689865E-06,1.79925242224949E-07
2013-02-15 12:00:00,1.11331158496698E-07,5.19359099269141E-08,1.0467918660863E-07,6.97708485540084E-08,1.56038394726421E-08,1.7556066011404E-06,3.07072465554204E-06,1.76299606811686E-07
2013-02-16 00:00:00,9.98506406968152E-08,4.92729603521638E-08,1.05954652370965E-07,7.00740523335288E-08,1.59148529912979E-08,1.71875569391278E-06,3.02175995383044E-06,1.74658669927365E-07
2013-02-16 12:00:00,1.16919737205424E-07,5.15336851558268E-08,1.04614301075409E-07,6.87532096024131E-08,1.602146743168E-08,1.68183516345526E-06,2.97385303175273E-06,1.71384423421752E-07
2013-02-17 00:00:00,1.05660078530762E-07,4.95030080010227E-08,1.05058314919706E-07,6.75951197457818E-08,1.6008112556828E-08,1.67948533820993E-06,2.94506096124948E-06,1.72862667859465E-07
2013-02-17 12:00:00,1.26947827959133E-07,5.24220849000039E-08,1.03429689564517E-07,6.6501534697438E-08,1.60184879321076E-08,1.70710361705233E-06,2.99988741958024E-06,1.74259536252905E-07
2013-02-18 00:00:00,1.14770349045296E-07,4.97450699148582E-08,1.03450127700355E-07,6.52272644847163E-08,1.61703928262385E-08,1.71416434587935E-06,3.00315138320672E-06,1.76555759502382E-07
2013-02-18 12:00:00,1.30313721726575E-07,5.11110235564342E-08,1.00802563685549E-07,6.40992301152935E-08,1.6296213943891E-08,1.77257741082907E-06,3.11124332717992E-06,1.80122377305472E-07
2013-02-19 00:00:00,1.15364998341525E-07,4.77522988110091E-08,9.97149858053947E-08,6.3113911043959E-08,1.65230921684468E-08,1.78642987934792E-06,3.13619829717808E-06,1.82635781811828E-07
